Observation,Region,Country,Latitude,Longitude,GC,MAT,MAP,Biomes,Biomes_Detail,Sand,Silt,Clay,Magnitude1,Magnitude2,Magnitude3,LUC,LUC_Detail,Duration,Depth,pH_C,pH_T,RR_pH,pH,pH_var,Csoil,Csoil_var,Nsoil,Nsoil_var,CNsoil,CNsoil_var,Nmin,Nmin_var,Nfixation,Nfixation_var,Nitrification,Nitrification_var,Denitrification,Denitrification_var,Meth,Meth_var,MicrobialBiomass,MicrobialBiomass_var,MicrobialBiomass_Detail,Respiration,Respiration_var,Respiration_Detail,MicrobialGroup,MicrobialGroup1,MicrobialGroup_Detail,OTU,OTU_var,Chao,Chao_var,ACE,ACE_var,Shannon,Shannon_var,BG,BG_var,AG,AG_var,NAG,NAG_var,LAP,LAP_var,AP,AP_var,CEL,CEL_var,XYL,XYL_var,PO,PO_var,PER,PER_var,Urease,Urease_var,Invertase, Invertase_var,EnzymeMethod,EnzymeTem
11,,,-42.7,147.2666667,W_eCO2,11.6,560.0,Grassland,Australian native grassland (C4),,,,2.0,149.0,,,,5.0,5–10,,,,,,-0.100083459,0.023974642,-0.105360516,0.034845679,0.0,0.001528483,,,,,,,,,,,-0.561423859,0.087330247,MBC,0.302025942,0.067787204,lab,Bacteria,Bacteria,Bacteria,-0.094577228,0.017789028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-42.7,147.2666667,W_eCO2,11.6,560.0,Grassland,Australian native grassland (C3),,,,2.0,149.0,,,,5.0,5–10,,,,,,0.192903666,0.009656182,0.194156014,0.018942871,0.016188727,0.000413268,,,,,,,,,,,-0.2463896,0.212892067,MBC,-0.261150777,0.020713492,lab,Bacteria,Bacteria,Bacteria,0.013393057,0.00550934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tennessee,USA,35.90333333,-84.33944444,W,14.2,1322.0,Grassland,Model old-field grassland,,,,3.0,,,,,3.0,0–15,,,,,,,,,,,,,,,,,,,,,,,,,-0.05204567,0.043299049,field,Fungi,Fungi,Fungi,0.3254224,0.013959074,-0.136575535,0.355473663,,,0.245122458,0.010306258,-0.253407376,0.41897982,-0.373425754,0.319047091,0.326669787,0.470659135,,,0.009034694,0.181813788,-0.463612974,1.714061257,-0.377849941,1.096155444,1.824549292,1.263823933,-0.184766274,0.148384413,,,,,Microplates,Unknow
28,,,35.90333333,-84.33944444,eCO2,14.2,1322.0,Grassland,Model old-field grassland,,,,300.0,,,,,3.0,0–15,,,,,,,,,,,,,,,,,,,,,,,,,0.310359835,0.043299049,field,Fungi,Fungi,Fungi,-0.262364264,0.013959074,-0.759105148,0.381524935,,,-0.251314428,0.015531428,0.755463946,0.407692025,0.964416223,1.775979483,0.708664922,0.364471352,,,0.085637885,0.35891584,-0.42378934,1.777824095,-0.083381609,0.954750125,1.729884066,1.297264262,0.151133607,0.134587078,,,,,Microplates,Unknow
29,,,35.90333333,-84.33944444,W_eCO2,14.2,1322.0,Grassland,Model old-field grassland,,,,3.0,300.0,,,,3.0,0–15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fungi,Fungi,Fungi,0.268263987,0.013959074,0.157185584,0.555573454,,,0.245122458,0.009199087,0.469583675,0.331660007,0.154814911,1.209235241,-0.839982539,0.555824524,,,-0.012061241,0.304531534,-0.611192278,1.095939963,-0.773634431,0.463623256,1.499623046,1.33249595,-0.351456303,0.331080456,,,,,Microplates,Unknow
30,,,35.90333333,-84.33944444,W,14.2,1322.0,Grassland,Model old-field grassland,,,,3.0,,,,,3.0,0–15,,,,,,,,,,,,,,,,,,,,,,,,,-0.05204567,0.043299049,field,Bacteria,Bacteria,Bacteria,-0.062913825,0.013959074,-0.016847571,0.260183689,,,-0.022989518,0.000865661,-0.253407376,0.41897982,-0.373425754,0.319047091,0.326669787,0.470659135,,,0.009034694,0.181813788,-0.463612974,1.714061257,-0.377849941,1.096155444,1.824549292,1.263823933,-0.184766274,0.148384413,,,,,Microplates,Unknow
31,,,35.90333333,-84.33944444,eCO2,14.2,1322.0,Grassland,Model old-field grassland,,,,300.0,,,,,3.0,0–15,,,,,,,,,,,,,,,,,,,,,,,,,0.310359835,0.043299049,field,Bacteria,Bacteria,Bacteria,-0.024692613,0.013959074,-0.244857312,0.21800511,,,-0.022989518,0.00061929,0.755463946,0.407692025,0.964416223,1.775979483,0.708664922,0.364471352,,,0.085637885,0.35891584,-0.42378934,1.777824095,-0.083381609,0.954750125,1.729884066,1.297264262,0.151133607,0.134587078,,,,,Microplates,Unknow
32,,,35.90333333,-84.33944444,W_eCO2,14.2,1322.0,Grassland,Model old-field grassland,,,,3.0,300.0,,,,3.0,0–15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.062913825,0.013959074,0.18271925,0.283861135,,,-0.022989518,0.00061929,0.469583675,0.331660007,0.154814911,1.209235241,-0.839982539,0.555824524,,,-0.012061241,0.304531534,-0.611192278,1.095939963,-0.773634431,0.463623256,1.499623046,1.33249595,-0.351456303,0.331080456,,,,,Microplates,Unknow
48,Manawatu,New Zealand,-40.23333333,175.2666667,eCO2,12.9,870.0,Grassland,Mixed-species pasture,,,,85.0,,,,,12.0,0–7.5,5.33,5.4,0.013047715,0.07,0.000552288,0.03608546,0.005445669,0.04021706,0.005670809,-0.0041316,0.021060631,0.247241426,0.021425644,,,,,,,,,0.178566558,0.002759671,MBC,-0.013072082,0.043299049,lab,Bacteria,Bacteria,Bacteria,-0.133722994,0.013959074,-0.197755656,0.009647966,,,-0.024745749,0.00021172,,,,,,,,,,,,,,,,,,,,,,,,
51,Hesse-Darmstadt ,Germany,50.53333333,8.683333333,eCO2,9.4,558.0,Grassland,Seminatural grassland (low moisture soil),,,,80.0,,,,,12.0,0–5,5.66,5.45,-0.037808284,-0.21,0.001048682,0.234316852,0.00627418,0.197825743,0.00608495,0.025699243,0.000898201,,,0.003040809,0.001787383,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.090069698,0.074437328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,50.53333333,8.683333333,eCO2,9.4,558.0,Grassland,Seminatural grassland (medium moisture soil),,,,80.0,,,,,12.0,0–5,6.02,6.04,0.003316753,0.02,0.000367038,-0.013245227,0.020302721,-0.022472856,0.016502483,0.009910884,0.000232936,,,0.053848206,0.005115301,,,,,,,0.111427392,0.042507756,MBC,0.191291725,0.010029602,lab,Bacteria,Bacteria,Bacteria,-0.008238033,0.031106554,,,,,,,0.174895183,0.016192727,0.009178204,0.016151266,0.260067514,0.017179183,,,0.385186408,0.02477628,,,-0.053561463,0.065157228,,,,,,,,,Microplates,37
53,,,50.53333333,8.683333333,eCO2,9.4,558.0,Grassland,Seminatural grassland (high moisture soil),,,,80.0,,,,,12.0,0–5,6.11,5.81,-0.050346202,-0.3,0.000792194,-0.102250093,0.020076603,-0.060624622,0.019920724,-0.040742783,0.00155195,,,-0.030738661,0.007427698,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.002862871,0.030215269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Minnesota,USA,45.0,-93.0,eCO2,6.7,660.0,Grassland,Model grassland,87.0,11.0,2.0,192.0,,,,,10.0,0–15,6.195,6.472,0.043742665,0.277,0.000438955,-0.087621691,0.015468585,-0.08299692,0.012985447,-0.011275451,0.00033412,0.334513372,0.275151244,,,,,,,,,0.39629103,0.012706555,PLFA,,,,Bacteria,Bacteria,"Bacteria, archaea",-0.056168959,0.03972134,,,,,-0.009570778,9.94353e-05,,,,,,,,,,,,,,,,,,,,,,,,
72,Qinghai,China,37.61666667,101.2,W,-2.0,500.0,Grassland,Alpine meadow,,,,1.5,,,,,3.0,0–20,7.32,7.58,0.034902872,0.26,0.000650745,-0.042787275,0.00929826,-0.015037877,0.009242264,-0.018692133,0.002507888,-0.160075062,0.320674637,,,,,,,,,0.052317505,0.110626709,MBC,,,,Bacteria,Bacteria,Bacteria,0.048489474,0.000421961,,,,,0.025190281,6.77683e-05,,,,,,,,,,,,,,,,,,,,,,,,
73,,,37.61666667,101.2,W,-2.0,500.0,Grassland,Alpine meadow with grazing,,,,1.5,,,,,3.0,0–20,7.37,7.36,-0.001357773,-0.01,0.000407853,0.085749547,0.005021236,0.09402895,0.004415209,-0.009852296,0.000341647,-0.979827576,0.489272048,,,,,,,,,0.184734103,0.109410982,MBC,,,,Bacteria,Bacteria,Bacteria,-0.009453848,0.000341407,,,,,-0.00960178,1.26001e-05,,,,,,,,,,,,,,,,,,,,,,,,
74,,,37.61666667,101.2,LUC,-2.0,500.0,Grassland,Alpine Grassland,,,,,,,NEtoPas,Alpine meadow to pasture,,0–20,7.32,7.37,0.006807378,0.05,0.000585382,0.037255432,0.007176879,0.057987258,0.007354529,-0.010638398,0.00170895,0.393286898,0.197016939,,,,,,,,,-0.076339326,0.123724591,MBC,,,,Bacteria,Bacteria,Bacteria,0.025906703,0.000410624,,,,,0.017775957,7.32965e-05,,,,,,,,,,,,,,,,,,,,,,,,
75,Qinghai,China,37.61666667,101.2,PPT-,-2.0,500.0,Grassland,Alpine Grassland,,,,50.0,,,,,1.0,0–5,7.68,7.83,0.019342963,0.15,0.000327303,-0.145659009,0.005686557,-0.11905936,0.005906028,-0.026599649,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.027893523,0.001609344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,37.61666667,101.2,PPT+,-2.0,500.0,Grassland,Alpine Grassland,,,,50.0,,,,,1.0,0–5,7.68,7.77,0.011650617,0.09,0.000486947,-0.185918683,0.004697512,-0.074107972,0.008520242,-0.111810711,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.040755437,0.000591715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,37.61666667,101.2,W,-2.0,500.0,Grassland,Alpine Grassland,,,,2.0,,,,,1.0,0–5,7.68,7.77,0.011650617,0.09,0.000367688,-0.073555715,0.007288042,-0.0102565,0.003559613,-0.063299215,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.011579947,0.000613795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,37.61666667,101.2,PPT-,-2.0,500.0,Grassland,Alpine Grassland,,,,50.0,,,,,1.0,0–5,7.68,7.83,0.019342963,0.15,0.000327303,-0.145659009,0.005686557,-0.11905936,0.005906028,-0.026599649,0.021060631,,,,,,,,,,,,,,,,,Fungi,Fungi,Fungi,0.119602872,0.0051462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,37.61666667,101.2,PPT+,-2.0,500.0,Grassland,Alpine Grassland,,,,50.0,,,,,1.0,0–5,7.68,7.77,0.011650617,0.09,0.000486947,-0.185918683,0.004697512,-0.074107972,0.008520242,-0.111810711,0.021060631,,,,,,,,,,,,,,,,,Fungi,Fungi,Fungi,0.074985807,0.005008329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,37.61666667,101.2,W,-2.0,500.0,Grassland,Alpine Grassland,,,,2.0,,,,,1.0,0–5,7.68,7.77,0.011650617,0.09,0.000367688,-0.073555715,0.007288042,-0.0102565,0.003559613,-0.063299215,0.021060631,,,,,,,,,,,,,,,,,Fungi,Fungi,Fungi,0.04409532,0.006514452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Qinghai,China,31.443,92.0184,LUC,4.0,620.0,Grassland,Alpine meadow,,,,,,,NEtoPas,Alpine meadow to pasture,3.0,0–15,,,,,,-0.185315807,0.028907104,-0.21190046,0.023451019,0.026584653,0.021060631,,,,,,,,,,,0.722887291,0.044584035,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.084038927,0.003375052,,,,,,,,,,,-0.024136329,0.000811444,,,,,,,,,0.785928914,0.013750294,0.164497498,0.014855946,Colorimetric,Unknow
82,,,31.443,92.0184,PPT+,4.0,620.0,Grassland,Alpine meadow,,,,20.0,,,,,3.0,0–15,,,,,,0.107561082,0.05219489,0.014962873,0.046441606,0.09259821,0.021060631,,,,,,,,,,,0.190241122,0.051435547,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.040949447,0.002125258,,,,,,,,,,,-0.108190873,0.000774459,,,,,,,,,-0.251314428,0.012251197,0.224956468,0.015163662,Colorimetric,Unknow
83,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow,,,,1.55,,,,,3.0,0–15,,,,,,0.236016022,0.036259018,0.127230175,0.032885699,0.108785848,0.021060631,,,,,,,,,,,-0.072042584,0.04191771,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,0.018892025,0.002282495,,,,,,,,,,,-0.134212978,0.006716017,,,,,,,,,0.105360516,0.003271605,0.214118661,0.017469168,Colorimetric,Unknow
84,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow,,,,2.0,,,,,3.0,0–15,,,,,,0.10047053,0.047674238,0.039413969,0.048369444,0.061056562,0.021060631,,,,,,,,,,,-0.057832138,0.034448348,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,0.014645734,0.002862939,,,,,,,,,,,-0.216606933,0.002434004,,,,,,,,,0.130053128,0.038844181,0.02793112,0.013663379,Colorimetric,Unknow
85,,,31.443,92.0184,LUC,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,,,,NEtoPas,Alpine meadow to pasture,3.0,0–15,,,,,,0.53166907,0.015479559,0.568693006,0.017174837,-0.037023936,0.021060631,,,,,,,,,,,-0.067321078,0.028774948,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,0.105360516,0.001165285,,,,,,,,,,,0.009950331,0.000802525,,,,,,,,,0.496436886,0.004855833,0.278618052,0.010118405,Colorimetric,Unknow
86,,,31.443,92.0184,PPT+,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,20.0,,,,,3.0,0–15,,,,,,0.193381369,0.004028033,0.231618178,0.006228455,-0.038236809,0.021060631,,,,,,,,,,,0.519363083,0.000898803,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,0.053618811,0.001832048,,,,,,,,,,,0.098713473,0.000557632,,,,,,,,,0.194156014,0.013154772,-0.060404158,0.008318517,Colorimetric,Unknow
87,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,1.55,,,,,3.0,0–15,,,,,,0.206390287,0.008882723,0.320386099,0.01196023,-0.113995812,0.021060631,,,,,,,,,,,0.646777575,0.00156693,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,0.014469857,0.001712073,,,,,,,,,,,0.1665732,0.000898619,,,,,,,,,0.068992871,0.003666541,-0.182267284,0.017869059,Colorimetric,Unknow
88,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,2.0,,,,,3.0,0–15,,,,,,0.009487309,0.016431224,0.046761766,0.013376208,-0.037274457,0.021060631,,,,,,,,,,,0.544522855,0.006920555,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.079553837,0.001349263,,,,,,,,,,,0.165514438,0.000316349,,,,,,,,,-0.793230639,0.028473832,-0.128080102,0.069053637,Colorimetric,Unknow
89,Qinghai,China,31.38913333,92.02843333,LUC,4.0,300.0,Grassland,Alpine steppe,,,,,,,NEtoPas,Alpine steppe to pasture,3.0,0–15,,,,,,0.433025908,0.003231882,0.312977795,0.009612992,0.120048112,0.021060631,,,,,,,,,,,-0.25487308,0.012585183,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.026789075,0.0020937,,,,,,,,,,,0.145450158,0.001153169,,,,,,,,,0.36772478,0.007288902,0.431974034,0.022187624,Colorimetric,Unknow
90,,,31.38913333,92.02843333,PPT+,4.0,300.0,Grassland,Alpine steppe,,,,20.0,,,,,3.0,0–15,,,,,,0.308214067,0.007809383,0.25991495,0.009878504,0.048299116,0.021060631,,,,,,,,,,,-0.378441636,0.012306479,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.139519018,0.001540941,,,,,,,,,,,0.119374321,0.002875854,,,,,,,,,0.393042588,0.051996742,0.041139765,0.035652967,Colorimetric,Unknow
91,,,31.38913333,92.02843333,W,4.0,300.0,Grassland,Alpine steppe,,,,1.55,,,,,3.0,0–15,,,,,,0.099268429,0.002443608,0.071580804,0.006323608,0.027687626,0.021060631,,,,,,,,,,,-0.445466842,0.006381499,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.00878483,0.001908042,,,,,,,,,,,0.220715026,0.002035471,,,,,,,,,0.815036998,0.098388673,0.192485394,0.034645644,Colorimetric,Unknow
92,,,31.38913333,92.02843333,W,4.0,300.0,Grassland,Alpine steppe,,,,2.0,,,,,3.0,0–15,,,,,,0.228092789,0.002003814,0.221021159,0.004769364,0.00707163,0.021060631,,,,,,,,,,,-0.643126795,0.003460696,MBC,,,,Bacteria,Bacteria,Bacteria,,,,,-0.005261632,0.00182242,,,,,,,,,,,0.163400569,0.00170965,,,,,,,,,0.510825624,0.041371742,0.299810271,0.018181674,Colorimetric,Unknow
93,Qinghai,China,31.443,92.0184,LUC,4.0,620.0,Grassland,Alpine meadow,,,,,,,NEtoPas,Alpine meadow to pasture,3.0,0–15,,,,,,-0.185315807,0.028907104,-0.21190046,0.023451019,0.026584653,0.021060631,,,,,,,,,,,0.722887291,0.044584035,MBC,,,,Fungi,Fungi,Fungi,,,,,0.203696416,0.025453867,,,,,,,,,,,-0.024136329,0.000811444,,,,,,,,,0.785928914,0.013750294,0.164497498,0.014855946,Colorimetric,Unknow
94,,,31.443,92.0184,PPT+,4.0,620.0,Grassland,Alpine meadow,,,,20.0,,,,,3.0,0–15,,,,,,0.107561082,0.05219489,0.014962873,0.046441606,0.09259821,0.021060631,,,,,,,,,,,0.190241122,0.051435547,MBC,,,,Fungi,Fungi,Fungi,,,,,0.018349139,0.021162902,,,,,,,,,,,-0.108190873,0.000774459,,,,,,,,,-0.251314428,0.012251197,0.224956468,0.015163662,Colorimetric,Unknow
95,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow,,,,1.55,,,,,3.0,0–15,,,,,,0.236016022,0.036259018,0.127230175,0.032885699,0.108785848,0.021060631,,,,,,,,,,,-0.072042584,0.04191771,MBC,,,,Fungi,Fungi,Fungi,,,,,0.256649963,0.020437854,,,,,,,,,,,-0.134212978,0.006716017,,,,,,,,,0.105360516,0.003271605,0.214118661,0.017469168,Colorimetric,Unknow
96,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow,,,,2.0,,,,,3.0,0–15,,,,,,0.10047053,0.047674238,0.039413969,0.048369444,0.061056562,0.021060631,,,,,,,,,,,-0.057832138,0.034448348,MBC,,,,Fungi,Fungi,Fungi,,,,,0.250902821,0.025252302,,,,,,,,,,,-0.216606933,0.002434004,,,,,,,,,0.130053128,0.038844181,0.02793112,0.013663379,Colorimetric,Unknow
97,,,31.443,92.0184,LUC,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,,,,NEtoPas,Alpine meadow to pasture,3.0,0–15,,,,,,0.53166907,0.015479559,0.568693006,0.017174837,-0.037023936,0.021060631,,,,,,,,,,,-0.067321078,0.028774948,MBC,,,,Fungi,Fungi,Fungi,,,,,0.125495424,0.008400381,,,,,,,,,,,0.009950331,0.000802525,,,,,,,,,0.496436886,0.004855833,0.278618052,0.010118405,Colorimetric,Unknow
98,,,31.443,92.0184,PPT+,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,20.0,,,,,3.0,0–15,,,,,,0.193381369,0.004028033,0.231618178,0.006228455,-0.038236809,0.021060631,,,,,,,,,,,0.519363083,0.000898803,MBC,,,,Fungi,Fungi,Fungi,,,,,-0.048225352,0.00738974,,,,,,,,,,,0.098713473,0.000557632,,,,,,,,,0.194156014,0.013154772,-0.060404158,0.008318517,Colorimetric,Unknow
99,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,1.55,,,,,3.0,0–15,,,,,,0.206390287,0.008882723,0.320386099,0.01196023,-0.113995812,0.021060631,,,,,,,,,,,0.646777575,0.00156693,MBC,,,,Fungi,Fungi,Fungi,,,,,-0.143535532,0.007505974,,,,,,,,,,,0.1665732,0.000898619,,,,,,,,,0.068992871,0.003666541,-0.182267284,0.017869059,Colorimetric,Unknow
100,,,31.443,92.0184,W,4.0,620.0,Grassland,Alpine meadow (cultivated grassland),,,,2.0,,,,,3.0,0–15,,,,,,0.009487309,0.016431224,0.046761766,0.013376208,-0.037274457,0.021060631,,,,,,,,,,,0.544522855,0.006920555,MBC,,,,Fungi,Fungi,Fungi,,,,,0.018657258,0.004352518,,,,,,,,,,,0.165514438,0.000316349,,,,,,,,,-0.793230639,0.028473832,-0.128080102,0.069053637,Colorimetric,Unknow
101,Qinghai,China,31.38913333,92.02843333,LUC,4.0,300.0,Grassland,Alpine steppe,,,,,,,NEtoPas,Alpine steppe to pasture,3.0,0–15,,,,,,0.433025908,0.003231882,0.312977795,0.009612992,0.120048112,0.021060631,,,,,,,,,,,-0.25487308,0.012585183,MBC,,,,Fungi,Fungi,Fungi,,,,,-0.088894026,0.02903229,,,,,,,,,,,0.145450158,0.001153169,,,,,,,,,0.36772478,0.007288902,0.431974034,0.022187624,Colorimetric,Unknow
102,,,31.38913333,92.02843333,PPT+,4.0,300.0,Grassland,Alpine steppe,,,,20.0,,,,,3.0,0–15,,,,,,0.308214067,0.007809383,0.25991495,0.009878504,0.048299116,0.021060631,,,,,,,,,,,-0.378441636,0.012306479,MBC,,,,Fungi,Fungi,Fungi,,,,,-0.161843025,0.043474725,,,,,,,,,,,0.119374321,0.002875854,,,,,,,,,0.393042588,0.051996742,0.041139765,0.035652967,Colorimetric,Unknow
103,,,31.38913333,92.02843333,W,4.0,300.0,Grassland,Alpine steppe,,,,1.55,,,,,3.0,0–15,,,,,,0.099268429,0.002443608,0.071580804,0.006323608,0.027687626,0.021060631,,,,,,,,,,,-0.445466842,0.006381499,MBC,,,,Fungi,Fungi,Fungi,,,,,0.064538521,0.026180163,,,,,,,,,,,0.220715026,0.002035471,,,,,,,,,0.815036998,0.098388673,0.192485394,0.034645644,Colorimetric,Unknow
104,,,31.38913333,92.02843333,W,4.0,300.0,Grassland,Alpine steppe,,,,2.0,,,,,3.0,0–15,,,,,,0.228092789,0.002003814,0.221021159,0.004769364,0.00707163,0.021060631,,,,,,,,,,,-0.643126795,0.003460696,MBC,,,,Fungi,Fungi,Fungi,,,,,0.164929814,0.031079571,,,,,,,,,,,0.163400569,0.00170965,,,,,,,,,0.510825624,0.041371742,0.299810271,0.018181674,Colorimetric,Unknow
