Observation,PublicationShort,Publication1,Publication2,Publication3,Publication4,Publication5,Publication6,NoPublication,Site,Region,Country,Latitude,Longitude,GC,MAT,MAP,Biomes,Biomes_Detail,Sand,Silt,Clay,Magnitude1,Magnitude2,Magnitude3,LUC,LUC_Detail,Duration,Depth,pH_C,pH_T,RR_pH,pH,pH_var,Csoil,Csoil_var,Nsoil,Nsoil_var,CNsoil,CNsoil_var,Nmin,Nmin_var,Nfixation,Nfixation_var,Nitrification,Nitrification_var,Denitrification,Denitrification_var,Meth,Meth_var,MicrobialBiomass,MicrobialBiomass_var,MicrobialBiomass_Detail,Respiration,Respiration_var,Respiration_Detail,MicrobialGroup,MicrobialGroup1,MicrobialGroup_Detail,OTU,OTU_var,Chao,Chao_var,ACE,ACE_var,Shannon,Shannon_var,BG,BG_var,AG,AG_var,NAG,NAG_var,LAP,LAP_var,AP,AP_var,CEL,CEL_var,XYL,XYL_var,PO,PO_var,PER,PER_var,Urease,Urease_var,Invertase, Invertase_var,EnzymeMethod,EnzymeTem
11,,,,,,,,,,,,-42.7,147.2666667,W_eCO2,11.6,560,Grassland,Australian native grassland (C4),,,,2,149,,,,5,5–10,,,,,,-0.100083459,0.023974642,-0.105360516,0.034845679,0,0.001528483,,,,,,,,,,,-0.561423859,0.087330247,MBC,0.302025942,0.067787204,lab,Bacteria,Bacteria,Bacteria,-0.094577228,0.017789028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,-42.7,147.2666667,W_eCO2,11.6,560,Grassland,Australian native grassland (C3),,,,2,149,,,,5,5–10,,,,,,0.192903666,0.009656182,0.194156014,0.018942871,0.016188727,0.000413268,,,,,,,,,,,-0.2463896,0.212892067,MBC,-0.261150777,0.020713492,lab,Bacteria,Bacteria,Bacteria,0.013393057,0.00550934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Liu et al., 2014, 2017; Chen et al., 2016","Liu et al. Abundance and composition response of wheat field soil bacterial and fungal communities to elevated CO2 and increased air temperature. Biology and Fertility of Soils 53, 3-8 (2017).","Liu et al. Short-term responses of microbial community and functioning to experimental CO2 enrichment and warming in a Chinese paddy field. Soil Biology and Biochemistry 77, 58-68 (2014).","Chen, Z., Zhang, J., Xiong, Z., Pan, G. & Müller, C. Enhanced gross nitrogen transformation rates and nitrogen supply in paddy field under elevated atmospheric carbon dioxide and temperature. Soil Biology and Biochemistry 94, 80-87 (2016).",,,,3,Changshu,Jiangsu,China,31.5,120.55,W,16,1150,Agriculture,Rice-wheat rotation,,,,2,,,,,3,0–15,7.62,7.59,-0.003944778,-0.03,0.000172714,-0.146134947,0.000147796,-0.056352937,0.002078012,-0.08978201,0.001597591,0.536418466,0.002505284,,,,,,,,,0.214274755,0.02116466,MBC,0.221448426,0.236087234,lab,Fungi,Fungi,Fungi,-0.107154238,0.007905257,0.01777217,0.005541105,,,0.059525979,0.001535351,,,,,,,,,,,,,,,,,,,0.068598394,0.000589866,0.18343717,0.079043885,Colorimetric,37
14,,,,,,,,,,,,31.5,120.55,eCO2,16,1150,Agriculture,Rice-wheat rotation,,,,125,,,,,3,0–15,7.62,7.47,-0.019881371,-0.15,0.000174738,0.212605794,0.000654625,0.209350229,0.00068148,0.003255564,0.00022692,0.718803434,0.002786332,,,,,,,,,0.03807633,0.013611016,MBC,0.142797239,0.239353765,lab,Fungi,Fungi,Fungi,-0.001614205,0.006629322,-0.148420005,0.006506616,,,0.044335814,0.00229951,,,,,,,,,,,,,,,,,,,0.063057425,0.001827473,0.232494797,0.054596343,Colorimetric,37
15,,,,,,,,,,,,31.5,120.55,W_eCO2,16,1150,Agriculture,Rice-wheat rotation,,,,2,125,,,,3,0–15,7.62,7.55,-0.009228806,-0.07,0.00011724,0.196954883,0.000326821,0.175448678,0.000484918,0.021506205,0.000149563,0.326954728,0.002767233,,,,,,,,,0.132759078,0.01674121,MBC,0.04212333,0.232518963,lab,Fungi,Fungi,Fungi,-0.101782694,0.007429392,-0.064078857,0.007662824,,,0.010610179,0.001274625,,,,,,,,,,,,,,,,,,,0.153304608,0.000959323,0.343159401,0.060026366,Colorimetric,37
16,,,,,,,,,,,,31.5,120.55,W,16,1150,Agriculture,Rice-wheat rotation,,,,2,,,,,3,0–15,7.62,7.59,-0.003944778,-0.03,0.000172714,-0.146134947,0.000147796,-0.056352937,0.002078012,-0.08978201,0.001597591,0.536418466,0.002505284,,,,,,,,,0.214274755,0.02116466,MBC,0.221448426,0.236087234,lab,Bacteria,Bacteria,Bacteria,0.026734062,0.00092175,0.050734156,0.000430325,,,-0.016117565,3.86502E-05,,,,,,,,,,,,,,,,,,,0.068598394,0.000589866,0.18343717,0.079043885,Colorimetric,37
17,,,,,,,,,,,,31.5,120.55,eCO2,16,1150,Agriculture,Rice-wheat rotation,,,,125,,,,,3,0–15,7.62,7.47,-0.019881371,-0.15,0.000174738,0.212605794,0.000654625,0.209350229,0.00068148,0.003255564,0.00022692,0.718803434,0.002786332,,,,,,,,,0.03807633,0.013611016,MBC,0.142797239,0.239353765,lab,Bacteria,Bacteria,Bacteria,0.052376492,0.000988718,0.031495679,0.000440064,,,0.005797118,2.73668E-05,,,,,,,,,,,,,,,,,,,0.063057425,0.001827473,0.232494797,0.054596343,Colorimetric,37
18,,,,,,,,,,,,31.5,120.55,W_eCO2,16,1150,Agriculture,Rice-wheat rotation,,,,2,125,,,,3,0–15,7.62,7.55,-0.009228806,-0.07,0.00011724,0.196954883,0.000326821,0.175448678,0.000484918,0.021506205,0.000149563,0.326954728,0.002767233,,,,,,,,,0.132759078,0.01674121,MBC,0.04212333,0.232518963,lab,Bacteria,Bacteria,Bacteria,-0.008371753,0.000827237,0.011117615,0.000688002,,,-0.023530497,9.8733E-05,,,,,,,,,,,,,,,,,,,0.153304608,0.000959323,0.343159401,0.060026366,Colorimetric,37
19,"Yu et al., 2016, 2018; Li et al., 2017","Yu et al. Effectiveness of elevated CO2 mediating bacterial communities in the soybean rhizosphere depends on genotypes. Agriculture, Ecosystems & Environment 231, 229-232 (2016).","Li et al. Elevated CO2 Increases Nitrogen Fixation at the Reproductive Phase Contributing to Various Yield Responses of Soybean Cultivars. Frontiers in Plant Science 8, 1546 (2017).",,,,,2,Harbin,Heilongjiang,China,45.66666667,126.5833333,eCO2,3.5,533,Agriculture,Soybean; genotype 1,19,44,37,160,,,,,1,Rhizosphere,6.64,6.68,0.006006024,0.04,7.52786E-05,,,,,,,,,0.551176919,0.131535637,,,,,,,0.328925031,0.003976194,MBC,,,,Bacteria,Bacteria,Bacteria,0.022472856,0.000110655,0.027858136,0.000111099,0.023045289,0.000380492,0.009493742,1.66918E-06,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,45.66666667,126.5833333,eCO2,3.5,533,Agriculture,Soybean; genotype 2,,,,160,,,,,1,Rhizosphere,6.67,6.68,0.001498128,0.01,3.96004E-05,,,,,,,,,0.115341884,0.131535637,,,,,,,0.221984668,0.004069246,MBC,,,,Bacteria,Bacteria,Bacteria,-0.140581951,0.000309195,-0.044247403,0.000153608,-0.057280773,0.000404992,0.001581028,4.17004E-06,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,45.66666667,126.5833333,eCO2,3.5,533,Agriculture,Soybean; genotype 3,,,,160,,,,,1,Rhizosphere,6.68,6.74,0.008941937,0.06,2.50673E-05,,,,,,,,,0.593063722,0.131535637,,,,,,,0.052808251,0.022404557,MBC,,,,Bacteria,Bacteria,Bacteria,-0.029522439,0.000179884,-0.004781313,0.000185118,-0.012897447,0.000615527,0.017502436,2.12046E-05,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,45.66666667,126.5833333,eCO2,3.5,533,Agriculture,Soybean; genotype 4,,,,160,,,,,1,Rhizosphere,6.68,6.74,0.008941937,0.06,3.31387E-05,,,,,,,,,-0.047346121,0.131535637,,,,,,,0.356189978,0.046223193,MBC,,,,Bacteria,Bacteria,Bacteria,0.057330932,0.00086685,0.016458768,0.000248263,0.027868635,0.000826855,0.015949301,1.52651E-05,,,,,,,,,,,,,,,,,,,,,,,,
23,"Wang et al., 2017; He et al., 2014; Peralta & Wander, 2008","Wang et al. Shifts in microbial communities in soil, rhizosphere and roots of two major crop systems under elevated CO2 and O3. Scientific Reports 7, 15019 (2017).","He et al. Distinct responses of soil microbial communities to elevated CO2 and O3 in a soybean agro-ecosystem. Isme Journal 8, 714-726 (2014).","Peralta, A. L. & Wander, M. M. Soil organic matter dynamics under soybean exposed to elevated [CO2]. Plant and Soil 303, 69-81 (2008).",,,,3,"SoyFACE, Champaign",Illinois,USA,40.05,-88.2,eCO2,11,460,Agriculture,Soybean,,,,150,,,,,14,0–16,6.5,6.6,0.015267472,0.1,0.008501149,0.088947486,0.048682794,0.048790164,0.008204096,0.031498667,0.165448553,,,0.404146042,0.007553705,,,,,,,0.294977571,0.006103011,MBC,0.230259814,0.043299049,field,Bacteria,Bacteria,Bacteria,,,,,,,-0.04225255,0.007567518,,,,,,,,,,,,,,,,,,,,,,,,
24,"Ren et al., 2015; Okada et al., 2014; Hayashi, K. et al., 2014","Ren et al. Response of soil, leaf endosphere and phyllosphere bacterial communities to elevated CO2 and soil temperature in a rice paddy. Plant and Soil 392, 27-44 (2015).","Okada et al. Elevated temperature has stronger effects on the soil food web of a flooded paddy than does CO2. Soil Biology and Biochemistry 70, 166-175 (2014).","Hayashi et al. Free-air CO2 enrichment (FACE) net nitrogen fixation experiment at a paddy soil surface under submerged conditions. Nutrient Cycling in Agroecosystems 98, 57-69 (2014).",,,,3,"Rice-FACE, Tsukubamirai",Ibaraki Prefecture,Japan,35.97416667,139.9922222,eCO2,13.8,1280,Agriculture,Rice,43,31,26,196,,,,,1,0–5,,,,,,,,,,,,,,0.082836006,0.00622874,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.044487721,0.028553379,,,,,0.05464376,0.003096271,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,35.97416667,139.9922222,W,13.8,1280,Agriculture,Rice,,,,2,,,,,1,0–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.044126795,0.034511202,,,,,0.021118782,0.005156292,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,35.97416667,139.9922222,W_eCO2,13.8,1280,Agriculture,Rice,,,,2,196,,,,1,0–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.016477433,0.019156627,,,,,0.02464526,0.003738307,,,,,,,,,,,,,,,,,,,,,,,,
27,"Castro et al., 2010; Kardol et al., 2010; Wan et al., 2007","Castro, H. F., Classen, A. T., Austin, E. E., Norby, R. J. & Schadt, C. W. Soil microbial community responses to multiple experimental climate change drivers. Applied and Environmental Microbiology 76, 999-1007 (2010).","Kardol, P., Cregger, M. A., Campany, C. E. & Classen, A. T. Soil ecosystem functioning under climate change: plant species and community effects. Ecology 91, 767-781 (2010).","Wan, S., Norby, R. J., Ledford, J. & Weltzin, J. F. Responses of soil respiration to elevated CO2, air warming, and changing soil water availability in a model old-field grassland. Global Change Biology 13, 2411-2424 (2007).",,,,3,"OCCAM, Oak Ridge",Tennessee,USA,35.90333333,-84.33944444,W,14.2,1322,Grassland,Model old-field grassland,,,,3,,,,,3,0–15,,,,,,,,,,,,,,,,,,,,,,,,,-0.05204567,0.043299049,field,Fungi,Fungi,Fungi,0.3254224,0.013959074,-0.136575535,0.355473663,,,0.245122458,0.010306258,-0.253407376,0.41897982,-0.373425754,0.319047091,0.326669787,0.470659135,,,0.009034694,0.181813788,-0.463612974,1.714061257,-0.377849941,1.096155444,1.824549292,1.263823933,-0.184766274,0.148384413,,,,,Microplates,Unknow
28,,,,,,,,,,,,35.90333333,-84.33944444,eCO2,14.2,1322,Grassland,Model old-field grassland,,,,300,,,,,3,0–15,,,,,,,,,,,,,,,,,,,,,,,,,0.310359835,0.043299049,field,Fungi,Fungi,Fungi,-0.262364264,0.013959074,-0.759105148,0.381524935,,,-0.251314428,0.015531428,0.755463946,0.407692025,0.964416223,1.775979483,0.708664922,0.364471352,,,0.085637885,0.35891584,-0.42378934,1.777824095,-0.083381609,0.954750125,1.729884066,1.297264262,0.151133607,0.134587078,,,,,Microplates,Unknow
29,,,,,,,,,,,,35.90333333,-84.33944444,W_eCO2,14.2,1322,Grassland,Model old-field grassland,,,,3,300,,,,3,0–15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fungi,Fungi,Fungi,0.268263987,0.013959074,0.157185584,0.555573454,,,0.245122458,0.009199087,0.469583675,0.331660007,0.154814911,1.209235241,-0.839982539,0.555824524,,,-0.012061241,0.304531534,-0.611192278,1.095939963,-0.773634431,0.463623256,1.499623046,1.33249595,-0.351456303,0.331080456,,,,,Microplates,Unknow
30,,,,,,,,,,,,35.90333333,-84.33944444,W,14.2,1322,Grassland,Model old-field grassland,,,,3,,,,,3,0–15,,,,,,,,,,,,,,,,,,,,,,,,,-0.05204567,0.043299049,field,Bacteria,Bacteria,Bacteria,-0.062913825,0.013959074,-0.016847571,0.260183689,,,-0.022989518,0.000865661,-0.253407376,0.41897982,-0.373425754,0.319047091,0.326669787,0.470659135,,,0.009034694,0.181813788,-0.463612974,1.714061257,-0.377849941,1.096155444,1.824549292,1.263823933,-0.184766274,0.148384413,,,,,Microplates,Unknow
31,,,,,,,,,,,,35.90333333,-84.33944444,eCO2,14.2,1322,Grassland,Model old-field grassland,,,,300,,,,,3,0–15,,,,,,,,,,,,,,,,,,,,,,,,,0.310359835,0.043299049,field,Bacteria,Bacteria,Bacteria,-0.024692613,0.013959074,-0.244857312,0.21800511,,,-0.022989518,0.00061929,0.755463946,0.407692025,0.964416223,1.775979483,0.708664922,0.364471352,,,0.085637885,0.35891584,-0.42378934,1.777824095,-0.083381609,0.954750125,1.729884066,1.297264262,0.151133607,0.134587078,,,,,Microplates,Unknow
32,,,,,,,,,,,,35.90333333,-84.33944444,W_eCO2,14.2,1322,Grassland,Model old-field grassland,,,,3,300,,,,3,0–15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.062913825,0.013959074,0.18271925,0.283861135,,,-0.022989518,0.00061929,0.469583675,0.331660007,0.154814911,1.209235241,-0.839982539,0.555824524,,,-0.012061241,0.304531534,-0.611192278,1.095939963,-0.773634431,0.463623256,1.499623046,1.33249595,-0.351456303,0.331080456,,,,,Microplates,Unknow
33,"Dunbar et al., 2012; Austin et al., 2009; Iversen et al., 2012; Lesaulnier et al., 2008; Larson et al., 2002; Holmes et al., 2003; Pregitzer et al., 2008; Finzi et al., 2006; Ge et al., 2010; Phillips et al., 2011; Drake et al., 2012; Jin & Evans, 2007; Carney et al., 2007; Matamala & Drake, 1999","Dunbar et al. Common bacterial responses in six ecosystems exposed to 10 years of elevated atmospheric carbon dioxide. Environmental Microbiology 14, 1145-1158 (2012).","Austin, E. E., Castro, H. F., Sides, K. E., Schadt, C. W. & Classen, A. T. Assessment of 10 years of CO2 fumigation on soil microbial communities and function in a sweetgum plantation. Soil Biology and Biochemistry 41, 514-520 (2009).","Iversen, C. M., Keller, J. K., Garten Jr, C. T. & Norby, R. J. Soil carbon and nitrogen cycling and storage throughout the soil profile in a sweetgum plantation after 11 years of CO2‐enrichment. Global change biology 18, 1684-1697 (2012).",,,,3,Oak Ridge,Tennessee,USA,35.9,-84.33333333,eCO2,14.2,1322,Tem/Bor Forest,Sweetgum plantation,,,,147.25,,,,,9,0–5,5,5.2,0.039220713,0.2,0.002491436,0.159276268,0.135846777,0.143100844,0.023694938,-0.009259325,0.002338757,0.231868764,0.023947092,,,,,,,,,,,,0.158504035,0.01552747,lab,Bacteria,Bacteria,Bacteria,0.048790164,0.013959074,,,,,,,-0.117868832,0.01992482,0.741937345,0.955124717,0.592405611,0.005958132,,,-0.347604975,0.029735322,-0.165792255,0.103779263,-0.05942342,0.131736037,,,,,,,,,Microplates,Unknow
34,,,,,,,,,,,,35.9,-84.33333333,eCO2,14.2,1322,Tem/Bor Forest,Sweetgum plantation,,,,147.25,,,,,9,5–15,4.6,4.5,-0.021978907,-0.1,0.002491436,-0.2135741,0.024214951,,,,,-0.015625318,0.050065586,,,,,,,,,,,,0.134660263,0.047020925,lab,Bacteria,Bacteria,Bacteria,0.029558802,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,35.9,-84.33333333,eCO2,14.2,1322,Tem/Bor Forest,Sweetgum plantation,,,,147.25,,,,,9,15–30,4.6,4.5,-0.021978907,-0.1,0.002491436,0.064538521,0.024214951,,,,,-0.156004248,0.011072178,,,,,,,,,,,,0.218257282,0.059754367,lab,Bacteria,Bacteria,Bacteria,-0.010050336,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Lesaulnier et al. Elevated atmospheric CO2 affects soil microbial diversity associated with trembling aspen. Environmental Microbiology 10, 926-941 (2008). ","Larson, J. L., Zak, D. R. & Sinsabaugh, R. L. Extracellular enzyme activity beneath temperate trees growing under elevated carbon dioxide and ozone. Soil Science Society of America Journal 66, 1848-1856 (2002).","Holmes, W. E., Zak, D. R., Pregitzer, K. S. & King, J. S. Soil nitrogen transformations under Populus tremuloides, Betula papyrifera and Acer saccharum following 3 years exposure to elevated CO2 and O3. Global Change Biology 9, 1743-1750 (2003).","Pregitzer, K. S., Burton, A. J., King, J. S. & Zak, D. R. Soil respiration, root biomass, and root turnover following long‐term exposure of northern forests to elevated atmospheric CO2 and tropospheric O3. New Phytologist 180, 153-161 (2008).",,,4,Rhinelander,Wisconsin,USA,45.6,-89.7,eCO2,4.9,810,Tem/Bor Forest,Aspen plantation,55.1,36.1,8.7,184,,,,,9,0–10,4.6,5.4,0.16034265,0.8,0.002491436,0.211309094,0.024214951,0.080042708,0.081032216,-0.039530839,0.004821992,0.223143551,0.54355625,,,,,,,,,,,,0.139390509,0.010414583,field,Bacteria,Bacteria,"Bacteria, archaea, Eukaryotes, and fungi",-0.12641906,0.013959074,0.107422002,0.014581884,,,,,,,0.100123221,0.127890134,0.551840336,0.312452758,0.1410939,0.496494068,0.057154292,0.240529459,0.311372484,0.245916943,,,-0.030706907,2.052775751,-0.062520528,0.300423691,,,,,Microplates,25
37,,"Finzi, A. C., Sinsabaugh, R. L., Long, T. M. & Osgood, M. P. Microbial community responses to atmospheric carbon dioxide enrichment in a warm-temperate forest. Ecosystems 9, 215-226 (2006).","Ge, Y., Chen, C., Xu, Z., Oren, R. & He, J.-Z. The spatial factor, rather than elevated CO2, controls the soil bacterial community in a temperate forest ecosystem. Applied and Environmental Microbiology 76, 7429-7436 (2010).","Phillips, R. P., Finzi, A. C. & Bernhardt, E. S. Enhanced root exudation induces microbial feedbacks to N cycling in a pine forest under long‐term CO2 fumigation. Ecology letters 14, 187-194 (2011).","Drake, J. E. et al. Trenching reduces soil heterotrophic activity in a loblolly pine (Pinus taeda) forest exposed to elevated atmospheric [CO2] and N fertilization. Agr Forest Meteorol 165, 43-52 (2012).",,,4,Durham,North Carolina,USA,35.96666667,-79.08333333,eCO2,15.5,1140,Tem/Bor Forest,Loblolly pine plantation,,,,194,,,,,11,0–10,4.85,4.606666667,-0.051474175,-0.243333333,0.00395072,0.147092113,0.03937427,0.117783036,0.045831904,0.077002073,0.020794001,-0.379489622,0.13670524,,,,,,,,,,,,-0.015109368,0.020444143,lab,Bacteria,Bacteria,Bacteria,-0.044128051,0.012683993,,,,,-0.035965149,0.004097427,0.292784508,0.040976543,0.220308912,0.044632649,0.090971778,0.009355349,0.195929925,0.051046796,-0.020390847,0.034868857,0.556094767,0.049022876,0.220196705,0.033354876,0.074107972,0.03409952,0.003883265,0.050593862,,,,,Microplates,20
38,,,,,,,,,,,,35.96666667,-79.08333333,N,15.5,1140,Tem/Bor Forest,Loblolly pine plantation,,,,11.2,,,,,2,0–10,4.85,4.67,-0.037819633,-0.18,0.005086415,-0.073368182,0.046474171,0,0.038773148,-0.046487044,0.008102666,-0.27029033,0.129449508,,,,,,,,,,,,-0.535225558,0.039730371,lab,Bacteria,Bacteria,Bacteria,-0.007148303,0.001602094,,,,,-0.021978907,0.000605838,-0.065957968,0.033621146,,,-0.441832752,0.010589009,,,-0.040166042,0.041856382,,,,,0.056089467,0.046108476,-0.159064695,0.049657312,,,,,Microplates,20
39,,"Jin, V. & Evans, R. Elevated CO2 increases microbial carbon substrate use and nitrogen cycling in Mojave Desert soils. Global Change Biology 13, 452-465 (2007).",,,,,,1,Mercury,Nevada,USA,36.81666667,-115.9166667,eCO2,15.4,146,Desert,Mojave Desert ecosystem,,,,170,,,,,10,Interspaces,7.7,7.9,0.025642431,0.2,0.002491436,0.186032136,0.008964491,0.207300554,0.007026739,-0.021268418,0.021060631,0.423579351,0.297434214,,,,,,,,,-0.0965668,0.115097209,MBN,,,,Bacteria,Bacteria,Bacteria,0.039220713,0.013959074,,,,,,,,,,,-0.36772478,0.050730108,,,,,-0.320617835,0.044853462,,,,,,,,,,,Microplates,30
40,,,,,,,,,,,,36.81666667,-115.9166667,eCO2,15.4,146,Desert,Mojave Desert ecosystem,,,,170,,,,,10,Under,8,7.4,-0.077961541,-0.6,0.002491436,,,,,,,,,,,,,,,,,-0.765464255,1.124989541,MBN,,,,Bacteria,Bacteria,Bacteria,0,0.013959074,,,,,,,,,,,,,,,,,-0.307764303,0.023534755,,,,,,,,,,,Microplates,30
